用户id	有效请求数	展示数	点击数	总消耗
1665959	30697518	25755105	1108392	790765.75
1661306	52261519	33830825	867401	543516.3
1674528	45662003	29300517	1849155	344429.8
1680646	27983474	19216712	604036	265064.98
1661615	77775671	74988389	1399442	221132.95
1674503	57103479	37329272	446632	212422.06
1656100	9525109	7724070	806164	193333.28
1653944	27235102	18867533	543836	177090.75
1659152	23166982	18241423	662868	172158.8
1625220	5147977	2117377	191026	142623.8
1501897	240729549	185996057	7431847	129745.1
1674146	13114957	10164654	724331	119274.15
1586603	4214055	1972932	216354	119268.45
1596469	5313301	4227546	229386	114807.62
1666023	22227893	15863212	335407	113169.6
1659705	19400547	15212117	338883	99822.32
1647993	11674477	8834847	483776	96266.23
1671625	3669213	2777104	324680	93931.81
1666874	51695887	29514171	221468	93502.32
1674502	41983887	25016770	588688	86889.37
1673514	8547916	5003267	70227	86473.75
1538252	5621037	5443177	406251	86237.86
1661974	17320289	12715415	186565	83114.06
1666328	717678	442258	7775	82682.83
1592812	12984512	11852149	478021	82041.83
1659718	20999121	18147212	351526	80042.03
1636399	261914	235684	12900	75992.33
1593143	1094660	854156	18871	74125.65
1001028	110503817	91811732	2852948	73676.22
1662728	22604797	18245107	539761	65458.56
1674149	9733697	6729992	176946	65363.59
1558645	17080905	13912716	293743	65092.96
1685596	599372	436930	5449	64247.07
1668942	319273	251033	5759	63703.81
1659638	1377966	728223	20320	63568.5
1666022	20035744	13430883	278227	63542.6
1618011	3260609	2199841	438755	62210.55
1667726	2169252	1542196	64682	61771.28
1642517	33208245	27011839	241440	60943.28
1653557	24626289	20785588	261651	60796.59
1601469	875579	663800	15264	59737.27
1651273	10121436	5735311	189413	58534.75
1645612	597140	447995	7509	58182.23
1672080	2394907	1969506	61695	57500.73
1630133	2825475	1349252	100046	55935.03
1670348	2612035	2531203	58134	55011.54
1662767	1426005	1098502	26697	54784.04
1668632	485841	370731	12932	52577.71
1683182	9150573	6660809	212591	51259.21
1667294	10065657	4870893	110042	50758.72
1626756	922413	698431	15637	50578.26
1649012	22302986	17432790	237230	50313.26
1673937	25853458	15114317	169191	49992.16
1669783	1092807	701146	19216	47710.53
1678567	5698129	3821312	163029	46305.67
1638623	725350	473686	14438	45098.06
1647173	8046875	4193965	126100	44630.97
1674914	37683270	24137071	434875	44157.8
1680799	20879533	17412732	364810	43879.51
1572266	3369966	3057587	180561	43862.61
1685562	312579	224209	4162	43233.48
1535109	624817	472705	10877	42978
1625354	13921756	9620035	100254	42385.76
1674117	15874726	8002530	90508	41834.83
1679996	566031	354239	6658	41548.2
1554537	332739	248317	3171	40537.19
1677153	16920357	14510528	218689	40529.3
1662822	145395	132390	5250	40241.42
1653184	7610015	6657812	263014	40235.21
1680520	7053295	5427360	129953	40093.77
1644963	1015476	672292	12967	39916.66
1590842	560957	445362	8293	39785.7
1643742	8352165	5107400	108239	39152.15
1601395	7464639	6105595	296105	38389.45
1666931	6500381	4268851	107898	37270.46
1640503	46072306	20914601	2753285	37124.89
1680035	202555	138622	2173	36944.86
1642970	375384	336785	6994	36633.9
1633395	199631	175384	6859	36534.04
1673390	2688630	1717505	13998	35287.11
1674484	4937201	3292874	125211	35057.95
1674142	11538667	9320149	217990	34916.5
1678027	417044	289508	12593	34677.12
1654920	229163	157777	2638	34571.42
1685133	146301	95665	1076	34478.63
1627188	2661235	1778950	9578	34438.15
1662406	312490	306494	91387	34329.26
1650336	797097	477151	3817	34327.45
1605817	577361	423610	9142	33855.28
1665533	3554302	2569272	65025	33344.57
1635004	607290	399168	5390	33312.91
1666757	154828	152298	9887	33081.22
1674494	6641048	4457206	202812	31740.47
1674137	15856531	9893833	76517	31356.57
1644628	32829060	32493907	500454	30567.99
1625849	226155	178012	6515	30518.02
1683372	2742269	2706032	205926	30213.5
1645836	3964916	3468773	227070	30007.06
1671819	236436	170211	3377	29641.7
1632251	3049643	2393406	62724	29548.66
1628512	928002	840085	121959	29030.26
1568796	10399806	5886337	221330	28637.34
1597166	11673349	9943964	244572	28053.03
1606041	1158128	1077260	36584	27985.31
1651051	594684	405657	2257	27277.24
1680102	62803	42028	902	27019.15
1576603	2500816	1878971	285312	26966.75
1666514	3423820	2803303	172490	26359.77
1642986	140637	124847	4380	26130.2
1675546	393743	281849	7416	25841.74
1643017	127333	81856	1670	25801.54
1675757	409265	365864	9185	25660.91
1648679	4589082	3786142	94844	25613.76
1671994	2256561	2216983	127657	25495.07
1642814	136989	108274	3744	25488.85
1602784	1963294	1525008	137889	25453.29
1613853	6700354	4224319	195293	25307.74
1630134	9284746	5734536	191203	24789.56
1678039	431142	303966	4417	24744.16
1637306	314365	252402	6669	24390.66
1674152	1696951	1524922	40884	24323.99
1645611	1315629	875742	6228	24185.77
1683006	2799071	2759430	63608	24137.36
1676076	230598	172004	1755	24105.96
1642372	2946778	1982429	108173	24088.22
1685575	171269	118997	2019	24059.53
1592809	13308698	9267581	190328	24002.59
1651494	686332	478892	3310	23855.32
1671639	2330081	1723829	68957	23622.44
1605410	30455183	16716834	240973	23528.77
1663141	3261717	2397114	63979	23492.11
1640500	46722481	34826796	2233158	23321.87
1678221	105269	75218	1202	23316.66
1642534	11518248	9720028	105874	23101.06
1646293	144425	113055	2642	23080.06
1634525	3970022	3276282	42450	23069.69
1677366	14316881	14087688	215927	23008.19
1643693	518298	364434	8760	22933.1
1675006	364334	263057	7701	22860.86
1652539	392490	281146	6420	22791.61
1681403	580802	390082	4989	22780.66
1628779	18731367	14908211	90129	22596.43
1623877	248925	160388	1518	22486.23
1680099	19110	12593	360	22450.29
1672393	689787	662892	87233	22443.78
1685050	2131143	1250146	17143	22378.31
1682277	6490513	6399395	96006	22015.47
1628242	651239	606846	10826	21586.05
1668066	3933822	1442023	19343	21490.81
1659785	455260	316922	10375	21341.71
1623793	80243	58528	880	21283.95
1625402	127308	115401	3981	21191.27
1682178	527337	356150	9732	21178.08
1636439	5723346	3718196	98186	21061.21
1633129	1586987	978195	8907	20997.08
1680007	293331	210968	5024	20977.09
1673659	5107738	3328693	105398	20938.07
1684779	7195472	4075251	87058	20882.56
1674311	8677092	5594993	154723	20826.38
1676044	3009477	2582329	198778	20774.9
1685627	388720	329030	10214	20473.08
1614548	412594	276584	6935	20257.96
1669712	917063	743933	17289	20194.22
1591485	3501344	2296969	36275	20101
1673019	3579641	1859160	43933	19980.21
1678170	3190564	2856777	49319	19934.11
1674429	4064194	2070610	64096	19921.81
1658956	2654180	1469006	26124	19917.39
1624356	185519	99908	2182	19814.08
1668823	3866671	2724648	108120	19726.27
1564959	200948	144019	4102	19624.35
1633409	712836	509075	10570	19507.39
1646685	130803	83119	2461	19450.28
1667986	982166	617351	20845	19403.16
1638038	13866516	12902889	202303	19245.26
1682275	5825357	5749281	96763	18968.67
1669478	639155	454894	10524	18860.05
1648635	1913703	1306202	6152	18747.59
1682267	8260864	8162681	130718	18632.3
1660536	68528	67495	18875	18600.66
1677480	307491	211691	6315	18209.28
1660214	1756636	1054101	17066	18073.27
1682132	320742	224901	2779	18059.44
1673599	450351	284159	6395	18045.22
1670641	97408	95628	25406	18036.22
1674151	7118457	4215533	155041	17876.84
1647248	376631	267099	1778	17817.39
1515597	690545	470902	39372	17653.2
1625544	44354	43501	7128	17627.33
1649241	759249	550652	8571	17615.8
1652894	68312	67081	16848	17589.39
1550848	277339	269647	30599	17485.53
1643500	3989160	1510280	19376	17452.85
1535120	283806	199596	3699	17337.58
1646308	285418	215042	7020	17128.72
1674883	89844	67547	1160	16976.43
1682263	140468	98801	1093	16956.48
1657884	1386737	1071890	19289	16914.04
1682189	108324	78387	958	16798.96
1647164	207320	126997	2436	16777.04
1675921	1262654	1177027	16566	16760.27
1646958	426396	311377	2588	16635.64
1673182	1781793	1669068	143187	16393.23
1669076	354715	244341	8067	16200.68
1624415	216274	169063	4539	16180.02
